lemma	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form
šejt	sejt	[/V][Prs.1Sg›2]	2.9107709750098145	697840	jt	j	t	1	cc	šejtelek	sejtelek	elek	30	-1.4558636297382954	lek	šejtlek	sejtlek	3	-2.455863629738295	10	2.302585092994046	TRUE	Prs.1Sg›2 (mondalak)	1583	test	šejtlek
ságuld	száguld	[/V][Prs.NDef.2Pl]	1.6960677532704322	42565	ld	l	d	2	cc	ságuldotok	száguldotok	otok	30	-1.4558636297382954	tok	ságuldtok	száguldtok	2	-2.6319548887939765	15	2.70805020110221	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	ságuldtok
šuhint	suhint	[/V][Prs.NDef.2Sg]	0.7173226386739786	4470	nt	n	t	2	cc	šuhintas	suhintasz	as	29	-1.4705868865590015	s	šuhints	suhintsz	1	-2.932984884457958	29	3.367295829986474	TRUE	Prs.NDef.2Sg (mondas)	3816	test	šuhints
hajt	hajt	[/V][Prs.1Sg›2]	2.919594521957997	712163	jt	j	t	1	cc	hajtalak	hajtalak	alak	28	-1.4858268531157386	lak	hajtlak	hajtlak	3	-2.455863629738295	9.333333333333334	2.2335922215070942	TRUE	Prs.1Sg›2 (mondalak)	1583	test	hajtlak
forrong	forrong	[/V][Prs.NDef.2Sg]	0.7458975302127779	4774	ng	n	g	2	cc	forrongas	forrongasz	as	1	-2.932984884457958	s	forrongs	forrongsz	25	-1.5350448757859203	0.04	-3.218875824868201	TRUE	Prs.NDef.2Sg (mondas)	3816	test	forrongs
dönt	dönt	[/V][Prs.1Sg›2]	3.394476429170933	2125501	nt	n	t	1	cc	döntelek	döntelek	elek	24	-1.552773642746352	lek	döntlek	döntlek	7	-2.087886844443701	3.4285714285714284	1.2321436812926323	TRUE	Prs.1Sg›2 (mondalak)	1583	test	döntlek
vált	vált	[/V][Prs.1Sg›2]	3.138701646345799	1179469	lt	l	t	1	cc	váltalak	váltalak	alak	24	-1.552773642746352	lak	váltlak	váltlak	7	-2.087886844443701	3.4285714285714284	1.2321436812926323	TRUE	Prs.1Sg›2 (mondalak)	1583	test	váltlak
kárörvend	kárörvend	[/V][Prs.NDef.2Pl]	0.26622159470369994	1582	nd	n	d	3	cc	kárörvendetek	kárörvendetek	etek	1	-2.932984884457958	tek	kárörvendtek	kárörvendtek	23	-1.571257048440365	0.04347826086956521	-3.1354942159291497	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	kárörvendtek
borong	borong	[/V][Prs.NDef.2Sg]	0.4584795273811454	2463	ng	n	g	2	cc	borongas	borongasz	as	7	-2.087886844443701	s	borongs	borongsz	22	-1.5905622036357516	0.3181818181818182	-1.1451323043030026	TRUE	Prs.NDef.2Sg (mondas)	3816	test	borongs
hullong	hullong	[/V][Prs.NDef.3Pl]	-0.6385186582963649	197	ng	n	g	2	cc	hullonganak	hullonganak	anak	20	-1.6319548887939763	nak	hullongnak	hullongnak	2	-2.6319548887939765	10	2.302585092994046	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	hullongnak
lázong	lázong	[/V][Prs.NDef.2Sg]	0.478803120085911	2581	ng	n	g	2	cc	lázongas	lázongasz	as	4	-2.3309248931299953	s	lázongs	lázongsz	20	-1.6319548887939763	0.2	-1.6094379124341005	TRUE	Prs.NDef.2Sg (mondas)	3816	test	lázongs
tévest	téveszt	[/V][Prs.1Sg›2]	1.7844276275827178	52169	st	s	t	2	cc	tévestelek	tévesztelek	elek	20	-1.6319548887939763	lek	tévestlek	tévesztlek	4	-2.3309248931299953	5	1.6094379124341005	TRUE	Prs.1Sg›2 (mondalak)	1583	test	tévestlek
ömleng	ömleng	[/V][Prs.NDef.2Sg]	0.2612518642658714	1564	ng	n	g	2	cc	ömlenges	ömlengesz	es	4	-2.3309248931299953	s	ömlengs	ömlengsz	20	-1.6319548887939763	0.2	-1.6094379124341005	TRUE	Prs.NDef.2Sg (mondas)	3816	test	ömlengs
jelent	jelent	[/V][Prs.1Sg›2]	3.848512349249592	6046405	nt	n	t	2	cc	jelentelek	jelentelek	elek	19	-1.654231283505129	lek	jelentlek	jelentlek	5	-2.234014880121939	3.8	1.33500106673234	TRUE	Prs.1Sg›2 (mondalak)	1583	test	jelentlek
dühöng	dühöng	[/V][Prs.NDef.2Pl]	1.3723234834061857	20198	ng	n	g	2	cc	dühöngötök	dühöngötök	ötök	3	-2.455863629738295	tök	dühöngtök	dühöngtök	18	-1.6777123793546518	0.16666666666666666	-1.791759469228055	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	dühöngtök
gerjest	gerjeszt	[/V][Prs.1Sg›2]	1.5671280377017365	31631	st	s	t	2	cc	gerjestelek	gerjesztelek	elek	18	-1.6777123793546518	lek	gerjestlek	gerjesztlek	1	-2.932984884457958	18	2.8903717578961645	TRUE	Prs.1Sg›2 (mondalak)	1583	test	gerjestlek
vest	veszt	[/V][Prs.1Sg›2]	2.6514582920249814	384099	st	s	t	1	cc	vestelek	vesztelek	elek	18	-1.6777123793546518	lek	vestlek	vesztlek	3	-2.455863629738295	6	1.791759469228055	TRUE	Prs.1Sg›2 (mondalak)	1583	test	vestlek
kelt	kelt	[/V][Prs.1Sg›2]	2.7981185534768014	538398	lt	l	t	1	cc	keltelek	keltelek	elek	17	-1.702535963079684	lek	keltlek	keltlek	1	-2.932984884457958	17	2.833213344056216	TRUE	Prs.1Sg›2 (mondalak)	1583	test	keltlek
riast	riaszt	[/V][Prs.1Sg›2]	1.8228823519462607	56999	st	s	t	2	cc	riastalak	riasztalak	alak	17	-1.702535963079684	lak	riastlak	riasztlak	9	-1.978742375018633	1.8888888888888888	0.6359887667199967	TRUE	Prs.1Sg›2 (mondalak)	1583	test	riastlak
tolong	tolong	[/V][Prs.NDef.2Sg]	1.2105607427804643	13917	ng	n	g	2	cc	tolongas	tolongasz	as	2	-2.6319548887939765	s	tolongs	tolongsz	16	-1.728864901802033	0.125	-2.0794415416798357	TRUE	Prs.NDef.2Sg (mondas)	3816	test	tolongs
