word1	word2	segment1	segment2	dist	phon_dist	length
dűsöng	mereng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""m"", ""e"", ""r"", ""e"", ""n"", ""g""]"	[0.8571428571428572, 0.85, 0.6428571428571428, 0.6470588235294117, 0.0, 0.0]	2.9970588235294118	6
dűsöng	érint	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""é"", ""r"", ""i"", ""n"", ""t""]"	[1.0, 0.7894736842105263, 0.6428571428571428, 0.6666666666666667, 0.0, 0.8275862068965517]	3.9265837006308875	6
dűsöng	lázong	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""l"", ""á"", ""z"", ""o"", ""n"", ""g""]"	[0.868421052631579, 0.8974358974358975, 0.4838709677419355, 0.6, 0.0, 0.0]	2.849727917809412	6
dűsöng	hőzöng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""h"", ""ő"", ""z"", ""ö"", ""n"", ""g""]"	[0.9, 0.47058823529411764, 0.4838709677419355, 0.0, 0.0, 0.0]	1.8544592030360532	6
dűsöng	šóhajt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""š"", ""ó"", ""h"", ""a"", ""j"", ""t""]"	[0.8604651162790697, 0.7435897435897436, 0.7272727272727273, 0.8378378378378378, 0.7931034482758621, 0.8275862068965517]	4.789855080151792	6
dűsöng	pang	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""p"", ""-"", ""-"", ""a"", ""n"", ""g""]"	[0.8611111111111112, 1.0, 1.0, 0.8378378378378378, 0.0, 0.0]	3.698948948948949	6
dűsöng	teng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""t"", ""-"", ""-"", ""e"", ""n"", ""g""]"	[0.5588235294117647, 1.0, 1.0, 0.6470588235294117, 0.0, 0.0]	3.205882352941176	6
dűsöng	forrong	"[""d"", ""ű"", ""-"", ""s"", ""ö"", ""n"", ""g""]"	"[""f"", ""o"", ""r"", ""r"", ""o"", ""n"", ""g""]"	[0.9230769230769231, 0.8333333333333334, 1.0, 0.6428571428571428, 0.6, 0.0, 0.0]	3.9992673992673993	7
dűsöng	ránt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""r"", ""á"", ""n"", ""t""]"	[1.0, 1.0, 0.6428571428571428, 0.8974358974358975, 0.0, 0.8275862068965517]	4.367879247189592	6
dűsöng	tüssent	"[""d"", ""ű"", ""-"", ""s"", ""ö"", ""n"", ""g""]"	"[""t"", ""ü"", ""s"", ""s"", ""e"", ""n"", ""t""]"	[0.5588235294117647, 0.5555555555555556, 1.0, 0.0, 0.6470588235294117, 0.0, 0.8275862068965517]	3.5890241153932836	7
dűsöng	döng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""d"", ""-"", ""-"", ""ö"", ""n"", ""g""]"	[0.0, 1.0, 1.0, 0.0, 0.0, 0.0]	2.0	6
dűsöng	borzong	"[""d"", ""ű"", ""-"", ""s"", ""ö"", ""n"", ""g""]"	"[""b"", ""o"", ""r"", ""z"", ""o"", ""n"", ""g""]"	[0.7428571428571429, 0.8333333333333334, 1.0, 0.4838709677419355, 0.6, 0.0, 0.0]	3.660061443932412	7
dűsöng	kereng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""k"", ""e"", ""r"", ""e"", ""n"", ""g""]"	[0.84375, 0.85, 0.6428571428571428, 0.6470588235294117, 0.0, 0.0]	2.9836659663865546	6
dűsöng	višong	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""v"", ""i"", ""š"", ""o"", ""n"", ""g""]"	[0.9166666666666666, 0.736842105263158, 0.4285714285714286, 0.6, 0.0, 0.0]	2.6820802005012534	6
dűsöng	dong	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""d"", ""-"", ""-"", ""o"", ""n"", ""g""]"	[0.0, 1.0, 1.0, 0.6, 0.0, 0.0]	2.6	6
dűsöng	told	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""t"", ""-"", ""-"", ""o"", ""l"", ""d""]"	[0.5588235294117647, 1.0, 1.0, 0.6, 0.7142857142857143, 0.7]	4.573109243697479	6
dűsöng	ing	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""-"", ""i"", ""n"", ""g""]"	[1.0, 1.0, 1.0, 0.6666666666666667, 0.0, 0.0]	3.666666666666667	6
dűsöng	erest	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""e"", ""r"", ""e"", ""s"", ""t""]"	[1.0, 0.85, 0.6428571428571428, 0.6470588235294117, 0.8648648648648649, 0.8275862068965517]	4.8323670381479715	6
